,ZIP,City/Location Name,STATE,2010 Census Population,FIPS Code,StCtyCode,County Name,Zip Code Designation
190,35953,Ashville,AL," 7,051",1115,1570,ST. CLAIR,Low Income Area
191,35611,Athens,AL," 25,259",1083,1410,LIMESTONE,Low Income Area/HPSA
192,35614,Athens,AL," 7,341",1083,1410,LIMESTONE,Low Income Area/HPSA
193,35613,Athens,AL," 18,138",1083,1410,LIMESTONE,HPSA
194,36502,Atmore,AL," 18,443",1053,1260,ESCAMBIA,Low Income Area/HPSA
195,35954,Attalla,AL," 12,509",1055,1270,ETOWAH,Low Income Area/HPSA
196,36830,Auburn,AL," 34,911",1081,1400,LEE,Low Income Area/HPSA
197,36832,Auburn,AL," 21,703",1081,1400,LEE,Low Income Area/HPSA
198,36849,Auburn University,AL," 2,858",1081,1400,LEE,Low Income Area/HPSA
199,36003,Autaugaville,AL," 1,927",1001,1000,AUTAUGA,Low Income Area/HPSA
200,36505,Axis,AL," 1,861",1097,1480,MOBILE,HPSA
201,35019,Baileyton,AL," 2,133",1043,1210,CULLMAN,Low Income Area/HPSA
202,36005,Banks,AL," 1,497",1109,1540,PIKE,Low Income Area/HPSA
203,35542,Bankston,AL," 1,089",1057,1280,FAYETTE,Low Income Area/HPSA
204,36507,Bay Minette,AL," 19,621",1003,1010,BALDWIN,Low Income Area/HPSA
205,36509,Bayou la Batre,AL," 2,003",1097,1480,MOBILE,Low Income Area/HPSA
206,35543,Bear Creek,AL," 1,146",1093,1460,MARION,Low Income Area
207,36425,Beatrice,AL," 1,118",1099,1490,MONROE,Low Income Area/HPSA
208,35544,Beaverton,AL, 754,1075,1370,LAMAR,Low Income Area/HPSA
209,35546,Berry,AL," 4,018",1057,1280,FAYETTE,Low Income Area/HPSA
210,35020,Bessemer,AL," 26,766",1073,1360,JEFFERSON,Low Income Area/HPSA
211,35022,Bessemer,AL," 1,147",1073,1360,JEFFERSON,HPSA
212,36006,Billingsley,AL," 1,696",1001,1000,AUTAUGA,Low Income Area/HPSA
213,35203,Birmingham,AL," 3,755",1073,1360,JEFFERSON,Low Income Area/HPSA
214,35204,Birmingham,AL," 11,786",1073,1360,JEFFERSON,Low Income Area/HPSA
215,35205,Birmingham,AL," 19,575",1073,1360,JEFFERSON,Low Income Area/HPSA
216,35206,Birmingham,AL," 17,049",1073,1360,JEFFERSON,Low Income Area/HPSA
217,35207,Birmingham,AL," 9,178",1073,1360,JEFFERSON,Low Income Area/HPSA
218,35208,Birmingham,AL," 14,864",1073,1360,JEFFERSON,Low Income Area/HPSA
219,35209,Birmingham,AL," 29,119",1073,1360,JEFFERSON,Low Income Area/HPSA
220,35211,Birmingham,AL," 25,930",1073,1360,JEFFERSON,Low Income Area/HPSA
221,35212,Birmingham,AL," 11,620",1073,1360,JEFFERSON,Low Income Area/HPSA
222,35214,Birmingham,AL," 19,380",1073,1360,JEFFERSON,Low Income Area/HPSA
223,35215,Birmingham,AL," 46,431",1073,1360,JEFFERSON,Low Income Area/HPSA
224,35217,Birmingham,AL," 13,606",1073,1360,JEFFERSON,Low Income Area/HPSA
225,35218,Birmingham,AL," 7,260",1073,1360,JEFFERSON,Low Income Area/HPSA
226,35221,Birmingham,AL," 4,895",1073,1360,JEFFERSON,Low Income Area/HPSA
227,35222,Birmingham,AL," 7,704",1073,1360,JEFFERSON,Low Income Area/HPSA
228,35224,Birmingham,AL," 6,317",1073,1360,JEFFERSON,Low Income Area/HPSA
229,35228,Birmingham,AL," 10,287",1073,1360,JEFFERSON,Low Income Area/HPSA
230,35233,Birmingham,AL," 1,336",1073,1360,JEFFERSON,Low Income Area/HPSA
231,35234,Birmingham,AL," 6,294",1073,1360,JEFFERSON,Low Income Area/HPSA
232,35254,Birmingham,AL, 22,1073,1360,JEFFERSON,Low Income Area/HPSA
233,35210,Birmingham,AL, 704,1073,1360,JEFFERSON,HPSA
234,36314,Black,AL, 560,1061,1300,GENEVA,Low Income Area/HPSA
235,35031,Blountsville,AL," 7,963",1009,1040,BLOUNT,Low Income Area/HPSA
236,35957,Boaz,AL," 15,641",1095,1470,MARSHALL,Low Income Area/HPSA
237,35956,Boaz,AL," 8,776",1055,1270,ETOWAH,Low Income Area/HPSA
238,35443,Boligee,AL, 866,1063,1310,GREENE,Low Income Area/HPSA
239,36511,Bon Secour,AL, 634,1003,1010,BALDWIN,Low Income Area/HPSA
240,36009,Brantley,AL," 2,684",1041,1200,CRENSHAW,Low Income Area/HPSA
241,35033,Bremen,AL," 3,376",1043,1210,CULLMAN,Low Income Area/HPSA
242,35034,Brent,AL," 5,580",1007,1030,BIBB,Low Income Area/HPSA
243,36426,Brewton,AL," 15,967",1053,1260,ESCAMBIA,Low Income Area/HPSA
244,35740,Bridgeport,AL," 3,516",1071,1350,JACKSON,Low Income Area/HPSA
245,35035,Brierfield,AL," 1,556",1007,1030,BIBB,Low Income Area/HPSA
246,35548,Brilliant,AL," 1,665",1093,1460,MARION,Low Income Area
247,35444,Brookwood,AL," 3,566",1125,1620,TUSCALOOSA,HPSA
248,36010,Brundidge,AL," 4,068",1109,1540,PIKE,Low Income Area
249,35958,Bryant,AL," 3,763",1071,1350,JACKSON,Low Income Area/HPSA
250,35446,Buhl,AL," 1,890",1125,1620,TUSCALOOSA,Low Income Area/HPSA
251,36401,Burnt Corn,AL," 7,869",1035,1170,CONECUH,Low Income Area/HPSA
252,36904,Butler,AL," 4,245",1023,1110,CHOCTAW,Low Income Area/HPSA
253,35040,Calera,AL," 1,532",1117,1580,SHELBY,HPSA
254,36726,Camden,AL," 4,740",1131,1650,WILCOX,Low Income Area/HPSA
255,36850,Camp Hill,AL," 2,684",1123,1610,TALLAPOOSA,Low Income Area/HPSA
256,36727,Campbell,AL, 122,1025,1120,CLARKE,Low Income Area/HPSA
257,35549,Carbon Hill,AL," 4,284",1127,1630,WALKER,Low Income Area/HPSA
258,36515,Carlton,AL, 1,1025,1120,CLARKE,Low Income Area/HPSA
259,35447,Carrollton,AL," 3,962",1107,1530,PICKENS,Low Income Area/HPSA
260,36432,Castleberry,AL," 3,081",1035,1170,CONECUH,Low Income Area/HPSA
261,36728,Catherine,AL, 601,1131,1650,WILCOX,Low Income Area/HPSA
262,36013,Cecil,AL, 632,1101,1500,MONTGOMERY,Low Income Area/HPSA
263,35959,Cedar Bluff,AL," 4,786",1019,1090,CHEROKEE,Low Income Area/HPSA
264,35960,Centre,AL," 10,118",1019,1090,CHEROKEE,Low Income Area/HPSA
265,35042,Centreville,AL," 5,975",1007,1030,BIBB,Low Income Area/HPSA
266,36316,Chancellor,AL," 1,883",1061,1300,GENEVA,Low Income Area/HPSA
267,36518,Chatom,AL," 3,364",1129,1640,WASHINGTON,Low Income Area/HPSA
268,35616,Cherokee,AL," 4,232",1033,1160,COLBERT,Low Income Area/HPSA
269,35044,Childersburg,AL," 8,201",1121,1600,TALLADEGA,Low Income Area/HPSA
270,36521,Chunchula,AL," 5,255",1097,1480,MOBILE,Low Income Area/HPSA
271,36522,Citronelle,AL," 6,948",1097,1480,MOBILE,Low Income Area/HPSA
272,35045,Clanton,AL," 14,407",1021,1100,CHILTON,Low Income Area/HPSA
273,35046,Clanton,AL," 5,195",1021,1100,CHILTON,Low Income Area/HPSA
274,36016,Clayton,AL," 5,255",1005,1020,BARBOUR,Low Income Area/HPSA
275,35049,Cleveland,AL," 4,306",1009,1040,BLOUNT,Low Income Area/HPSA
276,36017,Clio,AL," 3,352",1005,1020,BARBOUR,Low Income Area/HPSA
277,36317,Clopton,AL, 689,1067,1330,HENRY,Low Income Area/HPSA
278,36523,Coden,AL," 2,830",1097,1480,MOBILE,Low Income Area/HPSA
279,36318,Coffee Springs,AL," 1,292",1061,1300,GENEVA,Low Income Area/HPSA
280,36524,Coffeeville,AL," 1,193",1025,1120,CLARKE,Low Income Area/HPSA
281,35452,Coker,AL," 4,014",1125,1620,TUSCALOOSA,HPSA
282,35961,Collinsville,AL," 6,306",1049,1240,DE KALB,Low Income Area/HPSA
283,36319,Columbia,AL," 2,427",1069,1340,HOUSTON,Low Income Area/HPSA
284,35051,Columbiana,AL," 8,835",1117,1580,SHELBY,Low Income Area
285,36020,Coosada,AL," 1,092",1051,1250,ELMORE,Low Income Area/HPSA
286,35550,Cordova,AL," 5,796",1127,1630,WALKER,Low Income Area/HPSA
287,35453,Cottondale,AL," 10,848",1125,1620,TUSCALOOSA,HPSA
288,36320,Cottonwood,AL," 4,097",1069,1340,HOUSTON,Low Income Area/HPSA
289,35618,Courtland,AL," 1,862",1079,1390,LAWRENCE,Low Income Area/HPSA
290,36321,Cowarts,AL," 1,737",1069,1340,HOUSTON,Low Income Area/HPSA
291,36435,Coy,AL, 840,1131,1650,WILCOX,Low Income Area/HPSA
292,36255,Cragford,AL," 1,016",1027,1130,CLAY,Low Income Area/HPSA
293,35053,Crane Hill,AL," 2,454",1043,1210,CULLMAN,Low Income Area/HPSA
294,36525,Creola,AL," 1,564",1097,1480,MOBILE,Low Income Area/HPSA
295,35054,Cropwell,AL," 3,818",1115,1570,ST. CLAIR,Low Income Area
296,35962,Crossville,AL," 8,140",1049,1240,DE KALB,Low Income Area/HPSA
297,36907,Cuba,AL," 1,713",1119,1590,SUMTER,Low Income Area/HPSA
298,35055,Cullman,AL," 19,388",1043,1210,CULLMAN,Low Income Area/HPSA
299,35057,Cullman,AL," 12,827",1043,1210,CULLMAN,Low Income Area/HPSA
300,35058,Cullman,AL," 10,402",1043,1210,CULLMAN,Low Income Area/HPSA
301,36852,Cusseta,AL," 2,174",1081,1400,LEE,Low Income Area/HPSA
302,36853,Dadeville,AL," 8,276",1123,1610,TALLAPOOSA,Low Income Area/HPSA
303,36322,Daleville,AL," 8,412",1045,1220,DALE,Low Income Area/HPSA
304,35619,Danville,AL," 5,520",1079,1390,LAWRENCE,Low Income Area/HPSA
305,36528,Dauphin Island,AL," 1,237",1097,1480,MOBILE,Low Income Area/HPSA
306,36256,Daviston,AL," 1,431",1123,1610,TALLAPOOSA,Low Income Area
307,35963,Dawson,AL," 1,587",1049,1240,DE KALB,Low Income Area/HPSA
308,36022,Deatsville,AL," 11,755",1051,1250,ELMORE,HPSA
309,36022,Deatsville,AL," 2,336",1051,1250,ELMORE,HPSA
310,35601,Decatur,AL," 34,445",1103,1510,MORGAN,Low Income Area/HPSA
311,35603,Decatur,AL, 124,1103,1510,MORGAN,HPSA
312,35603,Decatur,AL," 29,917",1103,1510,MORGAN,HPSA
313,36529,Deer Park,AL, 981,1129,1640,WASHINGTON,Low Income Area/HPSA
314,36258,Delta,AL," 1,884",1027,1130,CLAY,Low Income Area/HPSA
315,36732,Demopolis,AL," 8,423",1091,1450,MARENGO,Low Income Area/HPSA
316,35552,Detroit,AL," 1,081",1093,1460,MARION,Low Income Area/HPSA
317,36436,Dickinson,AL, 622,1025,1120,CLARKE,Low Income Area/HPSA
318,36736,Dixons Mills,AL," 1,220",1091,1450,MARENGO,Low Income Area/HPSA
319,35061,Dolomite,AL," 1,454",1073,1360,JEFFERSON,Low Income Area
