ZIP,City/Location Name,STATE,2010 Census Population,FIPS Code,StCtyCode,County Name,Zip Code Designation
99638,Nikolski,AK,* 18,02016,02016,ALEUTIANS WEST,Low Income Area/HPSA
99639,Ninilchik,AK,* 978,02122,02122,KENAI PENINSULA,Low Income Area
99762,Nome,AK,"* 3,931",02180,02180,NOME,HPSA
99640,Nondalton,AK,* 164,02164,02164,LAKE AND PENINSULA,Low Income Area/HPSA
99763,Noorvik,AK,* 841,02188,02188,NORTHWEST ARTIC,Low Income Area/HPSA
99705,North Pole,AK,"* 22,406",02090,02090,FAIRBANKS NORTH STAR,HPSA
99789,Nuiqsut,AK,* 209,02185,02185,NORTH SLOPE,Low Income Area/HPSA
99765,Nulato,AK,* 822,02290,02290,YUKON-KOYUKUK,Low Income Area/HPSA
99647,Pedro Bay,AK,* 41,02164,02164,LAKE AND PENINSULA,Low Income Area/HPSA
99648,Perryville,AK,* 113,02164,02164,LAKE AND PENINSULA,Low Income Area/HPSA
99649,Pilot Point,AK,* 80,02164,02164,LAKE AND PENINSULA,Low Income Area/HPSA
99651,Platinum,AK,* 68,02050,02050,BETHEL,Low Income Area/HPSA
99927,Point Baker,AK,* 94,02198,02200,PRINCE OF WALES ,Low Income Area/HPSA
99766,Point Hope,AK,* 674,02185,02185,NORTH SLOPE,Low Income Area/HPSA
99759,Point Lay,AK,* 189,02185,02185,NORTH SLOPE,Low Income Area/HPSA
99653,Port Alsworth,AK,* 6,02164,02164,LAKE AND PENINSULA,Low Income Area/HPSA
99549,Port Heiden,AK,* 102,02164,02164,LAKE AND PENINSULA,Low Income Area/HPSA
99734,Prudhoe Bay,AK,"* 2,361",02185,02185,NORTH SLOPE,HPSA
99655,Quinhagak,AK,* 296,02050,02050,BETHEL,Low Income Area/HPSA
99656,Red Devil,AK,* 103,02050,02050,BETHEL,Low Income Area/HPSA
99768,Ruby,AK,* 156,02290,02290,YUKON-KOYUKUK,Low Income Area/HPSA
99657,Russian Mission,AK,* 6,02270,02270,WADE HAMPTON,Low Income Area/HPSA
99591,Saint George Island,AK,* 102,02016,02016,ALEUTIANS WEST,Low Income Area/HPSA
99658,Saint Marys,AK,* 616,02270,02270,WADE HAMPTON,Low Income Area/HPSA
99659,Saint Michael,AK,* 401,02180,02180,NOME,Low Income Area/HPSA
99660,Saint Paul Island,AK,* 479,02016,02016,ALEUTIANS WEST,Low Income Area/HPSA
99714,Salcha,AK,"* 1,364",02090,02090,FAIRBANKS NORTH STAR,Low Income Area/HPSA
99661,Sand Point,AK,* 978,02013,02013,ALEUTIANS EAST,Low Income Area/HPSA
99769,Savoonga,AK,* 671,02180,02180,NOME,Low Income Area/HPSA
99662,Scammon Bay,AK,* 480,02270,02270,WADE HAMPTON,Low Income Area/HPSA
99665,Shageluk,AK,* 83,02290,02290,YUKON-KOYUKUK,Low Income Area/HPSA
99771,Shaktoolik,AK,* 251,02180,02180,NOME,Low Income Area/HPSA
99772,Shishmaref,AK,* 563,02180,02180,NOME,Low Income Area/HPSA
99840,Skagway,AK,* 968,02230,02230,Skagway,Low Income Area/HPSA
99668,Sleetmute,AK,* 6,02050,02050,BETHEL,Low Income Area/HPSA
99670,South Naknek,AK,* 766,02060,02060,BRISTOL BAY BOROUGH,HPSA
99671,Stebbins,AK,* 556,02180,02180,NOME,Low Income Area/HPSA
99676,Talkeetna,AK,"* 2,118",02170,02170,MATANUSKA-SUSITNA,Low Income Area/HPSA
99777,Tanana,AK,* 246,02290,02290,YUKON-KOYUKUK,Low Income Area/HPSA
99778,Teller,AK,* 90,02180,02180,NOME,Low Income Area/HPSA
99919,Thorne Bay,AK,* 290,02198,02200,PRINCE OF WALES ,Low Income Area/HPSA
99780,Tok,AK,"* 2,048",02240,02240,SOUTHEAST FAIRBANKS,Low Income Area/HPSA
99679,Tuluksak,AK,* 373,02050,02050,BETHEL,Low Income Area/HPSA
99681,Tununak,AK,"* 1,197",02050,02050,BETHEL,Low Income Area/HPSA
99682,Tyonek,AK,* 321,02122,02122,KENAI PENINSULA,Low Income Area
99684,Unalakleet,AK,* 688,02180,02180,NOME,Low Income Area/HPSA
99685,Unalaska,AK,"* 4,376",02016,02016,ALEUTIANS WEST,Low Income Area/HPSA
99686,Valdez,AK,* 8,02261,02260,VALDZ-CHITNA-WHITIER ,HPSA
99781,Venetie,AK,* 149,02290,02290,YUKON-KOYUKUK,Low Income Area/HPSA
99782,Wainwright,AK,* 556,02185,02185,NORTH SLOPE,Low Income Area/HPSA
99783,Wales,AK,* 264,02180,02180,NOME,Low Income Area/HPSA
99784,White Mountain,AK,* 346,02180,02180,NOME,Low Income Area/HPSA
99688,Willow,AK,"* 4,038",02170,02170,MATANUSKA-SUSITNA,HPSA
99929,Wrangell,AK,"* 2,341",02275,02275,Wrangell City and Borough,Low Income Area
99689,Yakutat,AK,* 662,02282,02282,YAKUTAT BOROUGH ,HPSA
36310,Abbeville,AL,"* 6,713",01067,01330,HENRY,Low Income Area/HPSA
35005,Adamsville,AL,"* 7,999",01073,01360,JEFFERSON,Low Income Area
35540,Addison,AL,"* 2,680",01133,01660,WINSTON,Low Income Area/HPSA
35006,Adger,AL,* 60,01073,01360,JEFFERSON,HPSA
35006,Adger,AL,* 8,01073,01360,JEFFERSON,HPSA
35441,Akron,AL,"* 1,215",01065,01320,HALE,Low Income Area/HPSA
36720,Alberta,AL,"* 1,014",01131,01650,WILCOX,Low Income Area/HPSA
35950,Albertville,AL,"* 20,482",01095,01470,MARSHALL,Low Income Area/HPSA
35951,Albertville,AL,"* 13,598",01095,01470,MARSHALL,Low Income Area/HPSA
35010,Alexander City,AL,"* 20,692",01123,01610,TALLAPOOSA,Low Income Area/HPSA
36250,Alexandria,AL,"* 4,621",01015,01070,CALHOUN,Low Income Area
35442,Aliceville,AL,"* 5,029",01107,01530,PICKENS,Low Income Area/HPSA
35014,Alpine,AL,"* 4,150",01121,01600,TALLADEGA,Low Income Area/HPSA
35952,Altoona,AL,"* 7,786",01055,01270,ETOWAH,Low Income Area/HPSA
36420,Andalusia,AL,"* 12,619",01039,01190,COVINGTON,Low Income Area/HPSA
36421,Andalusia,AL,"* 4,604",01039,01190,COVINGTON,Low Income Area
35610,Anderson,AL,* 310,01077,01380,LAUDERDALE,HPSA
35610,Anderson,AL,"* 1,753",01077,01380,LAUDERDALE,HPSA
36201,Anniston,AL,"* 19,890",01015,01070,CALHOUN,Low Income Area
36205,Anniston,AL,* 709,01015,01070,CALHOUN,Low Income Area
36206,Anniston,AL,"* 11,451",01015,01070,CALHOUN,Low Income Area
35016,Arab,AL,"* 16,808",01095,01470,MARSHALL,Low Income Area/HPSA
35739,Ardmore,AL,"* 4,936",01083,01410,LIMESTONE,Low Income Area/HPSA
36311,Ariton,AL,"* 2,815",01045,01220,DALE,Low Income Area/HPSA
35541,Arley,AL,"* 3,547",01133,01660,WINSTON,Low Income Area/HPSA
36722,Arlington,AL,* 567,01131,01650,WILCOX,Low Income Area/HPSA
36312,Ashford,AL,"* 6,218",01069,01340,HOUSTON,Low Income Area/HPSA
36251,Ashland,AL,"* 5,183",01027,01130,CLAY,Low Income Area/HPSA
35953,Ashville,AL,"* 7,051",01115,01570,ST. CLAIR,Low Income Area
35611,Athens,AL,"* 25,259",01083,01410,LIMESTONE,Low Income Area/HPSA
35614,Athens,AL,"* 7,341",01083,01410,LIMESTONE,Low Income Area/HPSA
35613,Athens,AL,"* 18,138",01083,01410,LIMESTONE,HPSA
36502,Atmore,AL,"* 18,443",01053,01260,ESCAMBIA,Low Income Area/HPSA
35954,Attalla,AL,"* 12,509",01055,01270,ETOWAH,Low Income Area/HPSA
36830,Auburn,AL,"* 34,911",01081,01400,LEE,Low Income Area/HPSA
36832,Auburn,AL,"* 21,703",01081,01400,LEE,Low Income Area/HPSA
36849,Auburn University,AL,"* 2,858",01081,01400,LEE,Low Income Area/HPSA
36003,Autaugaville,AL,"* 1,927",01001,01000,AUTAUGA,Low Income Area/HPSA
36505,Axis,AL,"* 1,861",01097,01480,MOBILE,HPSA
35019,Baileyton,AL,"* 2,133",01043,01210,CULLMAN,Low Income Area/HPSA
36005,Banks,AL,"* 1,497",01109,01540,PIKE,Low Income Area/HPSA
35542,Bankston,AL,"* 1,089",01057,01280,FAYETTE,Low Income Area/HPSA
36507,Bay Minette,AL,"* 19,621",01003,01010,BALDWIN,Low Income Area/HPSA
36509,Bayou la Batre,AL,"* 2,003",01097,01480,MOBILE,Low Income Area/HPSA
35543,Bear Creek,AL,"* 1,146",01093,01460,MARION,Low Income Area
36425,Beatrice,AL,"* 1,118",01099,01490,MONROE,Low Income Area/HPSA
35544,Beaverton,AL,* 754,01075,01370,LAMAR,Low Income Area/HPSA
35546,Berry,AL,"* 4,018",01057,01280,FAYETTE,Low Income Area/HPSA
35020,Bessemer,AL,"* 26,766",01073,01360,JEFFERSON,Low Income Area/HPSA
35022,Bessemer,AL,"* 1,147",01073,01360,JEFFERSON,HPSA
36006,Billingsley,AL,"* 1,696",01001,01000,AUTAUGA,Low Income Area/HPSA
35203,Birmingham,AL,"* 3,755",01073,01360,JEFFERSON,Low Income Area/HPSA
35204,Birmingham,AL,"* 11,786",01073,01360,JEFFERSON,Low Income Area/HPSA
35205,Birmingham,AL,"* 19,575",01073,01360,JEFFERSON,Low Income Area/HPSA
35206,Birmingham,AL,"* 17,049",01073,01360,JEFFERSON,Low Income Area/HPSA
35207,Birmingham,AL,"* 9,178",01073,01360,JEFFERSON,Low Income Area/HPSA
35208,Birmingham,AL,"* 14,864",01073,01360,JEFFERSON,Low Income Area/HPSA
35209,Birmingham,AL,"* 29,119",01073,01360,JEFFERSON,Low Income Area/HPSA
35211,Birmingham,AL,"* 25,930",01073,01360,JEFFERSON,Low Income Area/HPSA
35212,Birmingham,AL,"* 11,620",01073,01360,JEFFERSON,Low Income Area/HPSA
35214,Birmingham,AL,"* 19,380",01073,01360,JEFFERSON,Low Income Area/HPSA
35215,Birmingham,AL,"* 46,431",01073,01360,JEFFERSON,Low Income Area/HPSA
35217,Birmingham,AL,"* 13,606",01073,01360,JEFFERSON,Low Income Area/HPSA
35218,Birmingham,AL,"* 7,260",01073,01360,JEFFERSON,Low Income Area/HPSA
35221,Birmingham,AL,"* 4,895",01073,01360,JEFFERSON,Low Income Area/HPSA
35222,Birmingham,AL,"* 7,704",01073,01360,JEFFERSON,Low Income Area/HPSA
35224,Birmingham,AL,"* 6,317",01073,01360,JEFFERSON,Low Income Area/HPSA
35228,Birmingham,AL,"* 10,287",01073,01360,JEFFERSON,Low Income Area/HPSA
35233,Birmingham,AL,"* 1,336",01073,01360,JEFFERSON,Low Income Area/HPSA
35234,Birmingham,AL,"* 6,294",01073,01360,JEFFERSON,Low Income Area/HPSA
35254,Birmingham,AL,* 22,01073,01360,JEFFERSON,Low Income Area/HPSA
35210,Birmingham,AL,* 704,01073,01360,JEFFERSON,HPSA
36314,Black,AL,* 560,01061,01300,GENEVA,Low Income Area/HPSA
35031,Blountsville,AL,"* 7,963",01009,01040,BLOUNT,Low Income Area/HPSA
35957,Boaz,AL,"* 15,641",01095,01470,MARSHALL,Low Income Area/HPSA
35956,Boaz,AL,"* 8,776",01055,01270,ETOWAH,Low Income Area/HPSA
35443,Boligee,AL,* 866,01063,01310,GREENE,Low Income Area/HPSA
36511,Bon Secour,AL,* 634,01003,01010,BALDWIN,Low Income Area/HPSA
36009,Brantley,AL,"* 2,684",01041,01200,CRENSHAW,Low Income Area/HPSA
35033,Bremen,AL,"* 3,376",01043,01210,CULLMAN,Low Income Area/HPSA
35034,Brent,AL,"* 5,580",01007,01030,BIBB,Low Income Area/HPSA
36426,Brewton,AL,"* 15,967",01053,01260,ESCAMBIA,Low Income Area/HPSA
35740,Bridgeport,AL,"* 3,516",01071,01350,JACKSON,Low Income Area/HPSA
35035,Brierfield,AL,"* 1,556",01007,01030,BIBB,Low Income Area/HPSA
35548,Brilliant,AL,"* 1,665",01093,01460,MARION,Low Income Area
35444,Brookwood,AL,"* 3,566",01125,01620,TUSCALOOSA,HPSA
36010,Brundidge,AL,"* 4,068",01109,01540,PIKE,Low Income Area
35958,Bryant,AL,"* 3,763",01071,01350,JACKSON,Low Income Area/HPSA
35446,Buhl,AL,"* 1,890",01125,01620,TUSCALOOSA,Low Income Area/HPSA
36401,Burnt Corn,AL,"* 7,869",01035,01170,CONECUH,Low Income Area/HPSA
36904,Butler,AL,"* 4,245",01023,01110,CHOCTAW,Low Income Area/HPSA
35040,Calera,AL,"* 1,532",01117,01580,SHELBY,HPSA
36726,Camden,AL,"* 4,740",01131,01650,WILCOX,Low Income Area/HPSA
36850,Camp Hill,AL,"* 2,684",01123,01610,TALLAPOOSA,Low Income Area/HPSA
36727,Campbell,AL,* 122,01025,01120,CLARKE,Low Income Area/HPSA
35549,Carbon Hill,AL,"* 4,284",01127,01630,WALKER,Low Income Area/HPSA
36515,Carlton,AL,* 1,01025,01120,CLARKE,Low Income Area/HPSA
35447,Carrollton,AL,"* 3,962",01107,01530,PICKENS,Low Income Area/HPSA
36432,Castleberry,AL,"* 3,081",01035,01170,CONECUH,Low Income Area/HPSA
36728,Catherine,AL,* 601,01131,01650,WILCOX,Low Income Area/HPSA
36013,Cecil,AL,* 632,01101,01500,MONTGOMERY,Low Income Area/HPSA
35959,Cedar Bluff,AL,"* 4,786",01019,01090,CHEROKEE,Low Income Area/HPSA
35960,Centre,AL,"* 10,118",01019,01090,CHEROKEE,Low Income Area/HPSA
35042,Centreville,AL,"* 5,975",01007,01030,BIBB,Low Income Area/HPSA
36316,Chancellor,AL,"* 1,883",01061,01300,GENEVA,Low Income Area/HPSA
36518,Chatom,AL,"* 3,364",01129,01640,WASHINGTON,Low Income Area/HPSA
35616,Cherokee,AL,"* 4,232",01033,01160,COLBERT,Low Income Area/HPSA
35044,Childersburg,AL,"* 8,201",01121,01600,TALLADEGA,Low Income Area/HPSA
36521,Chunchula,AL,"* 5,255",01097,01480,MOBILE,Low Income Area/HPSA
36522,Citronelle,AL,"* 6,948",01097,01480,MOBILE,Low Income Area/HPSA
35045,Clanton,AL,"* 14,407",01021,01100,CHILTON,Low Income Area/HPSA
35046,Clanton,AL,"* 5,195",01021,01100,CHILTON,Low Income Area/HPSA
36016,Clayton,AL,"* 5,255",01005,01020,BARBOUR,Low Income Area/HPSA
35049,Cleveland,AL,"* 4,306",01009,01040,BLOUNT,Low Income Area/HPSA
36017,Clio,AL,"* 3,352",01005,01020,BARBOUR,Low Income Area/HPSA
36317,Clopton,AL,* 689,01067,01330,HENRY,Low Income Area/HPSA
36523,Coden,AL,"* 2,830",01097,01480,MOBILE,Low Income Area/HPSA
36318,Coffee Springs,AL,"* 1,292",01061,01300,GENEVA,Low Income Area/HPSA
36524,Coffeeville,AL,"* 1,193",01025,01120,CLARKE,Low Income Area/HPSA
35452,Coker,AL,"* 4,014",01125,01620,TUSCALOOSA,HPSA
35961,Collinsville,AL,"* 6,306",01049,01240,DE KALB,Low Income Area/HPSA
36319,Columbia,AL,"* 2,427",01069,01340,HOUSTON,Low Income Area/HPSA
35051,Columbiana,AL,"* 8,835",01117,01580,SHELBY,Low Income Area
36020,Coosada,AL,"* 1,092",01051,01250,ELMORE,Low Income Area/HPSA
35550,Cordova,AL,"* 5,796",01127,01630,WALKER,Low Income Area/HPSA
35453,Cottondale,AL,"* 10,848",01125,01620,TUSCALOOSA,HPSA
36320,Cottonwood,AL,"* 4,097",01069,01340,HOUSTON,Low Income Area/HPSA
35618,Courtland,AL,"* 1,862",01079,01390,LAWRENCE,Low Income Area/HPSA
36321,Cowarts,AL,"* 1,737",01069,01340,HOUSTON,Low Income Area/HPSA
36435,Coy,AL,* 840,01131,01650,WILCOX,Low Income Area/HPSA
36255,Cragford,AL,"* 1,016",01027,01130,CLAY,Low Income Area/HPSA
35053,Crane Hill,AL,"* 2,454",01043,01210,CULLMAN,Low Income Area/HPSA
36525,Creola,AL,"* 1,564",01097,01480,MOBILE,Low Income Area/HPSA
35054,Cropwell,AL,"* 3,818",01115,01570,ST. CLAIR,Low Income Area
35962,Crossville,AL,"* 8,140",01049,01240,DE KALB,Low Income Area/HPSA
36907,Cuba,AL,"* 1,713",01119,01590,SUMTER,Low Income Area/HPSA
35055,Cullman,AL,"* 19,388",01043,01210,CULLMAN,Low Income Area/HPSA
35057,Cullman,AL,"* 12,827",01043,01210,CULLMAN,Low Income Area/HPSA
35058,Cullman,AL,"* 10,402",01043,01210,CULLMAN,Low Income Area/HPSA
36852,Cusseta,AL,"* 2,174",01081,01400,LEE,Low Income Area/HPSA
36853,Dadeville,AL,"* 8,276",01123,01610,TALLAPOOSA,Low Income Area/HPSA
36322,Daleville,AL,"* 8,412",01045,01220,DALE,Low Income Area/HPSA
35619,Danville,AL,"* 5,520",01079,01390,LAWRENCE,Low Income Area/HPSA
36528,Dauphin Island,AL,"* 1,237",01097,01480,MOBILE,Low Income Area/HPSA
36256,Daviston,AL,"* 1,431",01123,01610,TALLAPOOSA,Low Income Area
35963,Dawson,AL,"* 1,587",01049,01240,DE KALB,Low Income Area/HPSA
36022,Deatsville,AL,"* 11,755",01051,01250,ELMORE,HPSA
36022,Deatsville,AL,"* 2,336",01051,01250,ELMORE,HPSA
35601,Decatur,AL,"* 34,445",01103,01510,MORGAN,Low Income Area/HPSA
35603,Decatur,AL,* 124,01103,01510,MORGAN,HPSA
35603,Decatur,AL,"* 29,917",01103,01510,MORGAN,HPSA
36529,Deer Park,AL,* 981,01129,01640,WASHINGTON,Low Income Area/HPSA
36258,Delta,AL,"* 1,884",01027,01130,CLAY,Low Income Area/HPSA
36732,Demopolis,AL,"* 8,423",01091,01450,MARENGO,Low Income Area/HPSA
35552,Detroit,AL,"* 1,081",01093,01460,MARION,Low Income Area/HPSA
36436,Dickinson,AL,* 622,01025,01120,CLARKE,Low Income Area/HPSA
36736,Dixons Mills,AL,"* 1,220",01091,01450,MARENGO,Low Income Area/HPSA
35061,Dolomite,AL,"* 1,454",01073,01360,JEFFERSON,Low Income Area
35062,Dora,AL,"* 8,082",01073,01360,JEFFERSON,Low Income Area/HPSA
36301,Dothan,AL,"* 35,671",01069,01340,HOUSTON,Low Income Area/HPSA
36303,Dothan,AL,"* 30,251",01069,01340,HOUSTON,Low Income Area/HPSA
